county_state,GOP_2020,Avg_Trump_vote,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_Deaths_Per_10K,All_Deaths_Per_10K,median_age
San Joaquin County_CA,0.419833392,0.419833392,61.70000076,66.09999847,71.5,73.69999695,93.5,31.9,268.86,35
Hampton County_SC,0.419774324,0.419774324,65.5,69.09999847,74,76.09999847,95,34.65,363.04,42.20000076
Linn County_IA,0.418679088,0.418679088,68.09999847,72.40000153,76.09999847,77.5,95,35.47,331.53,38.70000076
Greensville County_VA,0.418452114,0.418452114,37.29999924,38.90000153,41.59999847,43.40000153,63.59999847,8.74,222.96,41.09999847
Hopewell city_VA,0.418401331,0.418401331,31.79999924,34.29999924,38.40000153,40.5,62.20000076,83.41,604.15,35.90000153
Dakota County_MN,0.418052375,0.418052375,71.5,75.90000153,79,80.19999695,93.59999847,13.64,181.05,38.70000076
Erie County_NY,0.417586118,0.417586118,71.59999847,75.5,78.40000153,79.40000153,90.30000305,43.5,405.38,40.29999924
Kane County_IL,0.4173567,0.4173567,68.59999847,72.90000153,76.69999695,78,89.40000153,25.43,251.03,38.59999847
Lake County_IN,0.417174339,0.417174339,59.20000076,62.90000153,67.19999695,69.30000305,89.09999847,49.42,438.1,39.59999847
Athens County_OH,0.416823357,0.416823357,51.40000153,53.20000076,54.5,54.70000076,87.80000305,20.95,264.12,31.60000038
Adams County_MS,0.413983583,0.413983583,56.40000153,59.79999924,63.5,65.30000305,88.69999695,58.1,480.83,42.59999847
Nevada County_CA,0.413651943,0.413651943,65.5,68.19999695,70.90000153,71.90000153,80.90000153,17.49,333.28,50
Strafford County_NH,0.413527906,0.413527906,62.79999924,65.59999847,68.5,69.40000153,95,20.01,331.23,37.5
Madison Parish_LA,0.413276225,0.413276225,47.29999924,50.79999924,54.90000153,56.90000153,79.30000305,17.35,297.99,35.70000076
Anne Arundel County_MD,0.412835866,0.412835866,79.30000305,84,87.40000153,87.80000305,95,22.85,273.17,38.70000076
Hamilton County_OH,0.412796527,0.412796527,64.30000305,68.40000153,72.40000153,74.19999695,92.09999847,44.3,447.77,37
Polk County_IA,0.412745655,0.412745655,69.40000153,74.40000153,78.69999695,80,95,37.78,362.17,36.09999847
Silver Bow County_MT,0.411377281,0.411377281,62.70000076,66.30000305,70,70.80000305,91.80000305,40.95,450.43,40
Bergen County_NJ,0.410921484,0.410921484,80,84.30000305,87.80000305,89,93.69999695,44.15,302.37,42.09999847
Schenectady County_NY,0.41083312,0.41083312,74.90000153,79.30000305,82.80000305,83.40000153,95,27.33,357.39,39.70000076
Passaic County_NJ,0.41015023,0.41015023,72.09999847,77.30000305,82.40000153,83.59999847,87.80000305,39.78,252.57,37.70000076
Middlesex County_CT,0.409917027,0.409917027,85.59999847,89,91.59999847,92.59999847,95,33.87,312.58,46.09999847
Hidalgo County_TX,0.409839541,0.409839541,78.30000305,85.59999847,90.09999847,89.5,92.5,46.21,238.69,30.10000038
Clay County_MS,0.409660995,0.409660995,48.20000076,51.09999847,55.20000076,57.5,78.90000153,32.91,358.24,40.40000153
New London County_CT,0.409085691,0.409085691,81.19999695,85.09999847,88.59999847,89.80000305,95,27.83,318.52,41.5
Cumberland County_NC,0.407964677,0.407964677,63.5,68.59999847,74.5,77.09999847,95,29.45,325.66,31.89999962
Jefferson Davis County_MS,0.407854497,0.407854497,46.5,49.29999924,52.40000153,53.20000076,60.29999924,22.45,316.15,45.20000076
Larimer County_CO,0.407817662,0.407817662,70,73.19999695,76.09999847,77.09999847,95,23.64,276.42,37
Lucas County_OH,0.407545507,0.407545507,59.29999924,63.20000076,67.40000153,69.40000153,90.5,61.86,495.89,38.40000153
Columbia County_NY,0.407184273,0.407184273,76.69999695,79.90000153,82.90000153,83.80000305,94.30000305,37.55,362.26,49.40000153
Chester County_PA,0.407169521,0.407169521,82.90000153,87.19999695,90.5,91.5,95,27.75,272.92,40.59999847
New Haven County_CT,0.40645963,0.40645963,80.5,84.59999847,88.30000305,89.19999695,95,38.81,366.96,40.5
Sagadahoc County_ME,0.40581578,0.40581578,82.59999847,86.30000305,89.40000153,90.80000305,95,5.66,225.51,46.59999847
Lincoln County_OR,0.405519754,0.405519754,72.69999695,75.69999695,79,80,91.59999847,15.53,397.35,52.59999847
Caledonia County_VT,0.405158013,0.405158013,37.90000153,39.5,40.59999847,41,50.20000076,13.16,341.74,44.90000153
Cheshire County_NH,0.404741436,0.404741436,60.70000076,63.40000153,67.5,68.90000153,92.30000305,18.88,322.26,43.20000076
Suffolk city_VA,0.404536486,0.404536486,54.59999847,58.29999924,63,64.19999695,84.30000305,48.55,368.84,38.40000153
Adams County_CO,0.404067844,0.404067844,70.30000305,75.30000305,80.40000153,81.90000153,95,33.29,275,34.79999924
Hale County_AL,0.402676105,0.402676105,62.5,67.09999847,72.5,74.30000305,86.30000305,21.01,331.44,40.70000076
Gwinnett County_GA,0.401910037,0.401910037,56.40000153,60.20000076,65.5,67.90000153,89.30000305,15.79,165.96,36.20000076
Brooks County_TX,0.401771337,0.401771337,95,95,91.90000153,79.30000305,83.30000305,20.02,420.36,35.20000076
Plymouth County_MA,0.401658624,0.401658624,73.59999847,77.40000153,80.59999847,81.59999847,94.19999695,27.65,299.14,42.90000153
Bexar County_TX,0.401348859,0.401348859,71.5,76.69999695,82.30000305,83.30000305,95,45.5,319.48,34.5
